Date,USO
2007-01-03,-4.26355830478908
2007-01-04,-4.06883181907562
2007-01-05,0.928472271122
2007-01-08,-0.7108509006543701
2007-01-09,-0.4000905285285
2007-01-10,-4.1014757738155705
2007-01-11,-2.2486794036887097
2007-01-12,0.6540392422192
2007-01-16,-2.89043462042494
2007-01-17,2.03045916012921
2007-01-18,-2.23880818094058
2007-01-19,2.77585010409438
2007-01-22,-1.3279315777627598
2007-01-23,4.12865419708028
2007-01-24,0.98575242121565
2007-01-25,-1.8004295791943299
2007-01-26,2.2310558869008
2007-01-29,-2.8305921095633497
2007-01-30,5.31465409573817
2007-01-31,1.8581101803608402
2007-02-01,-0.8291915079107801
2007-02-02,3.13545150501673
2007-02-05,-0.48642480745845995
2007-02-06,0.22403463234357
2007-02-07,-1.95082101099007
2007-02-08,3.10880829015545
2007-02-09,0.482416080402
2007-02-12,-3.2406540011740703
2007-02-13,2.0467273526303
2007-02-14,-1.8435980177553002
2007-02-15,-0.20640453650352
2007-02-16,2.06825241233723
2007-02-20,-1.37791292311704
2007-02-21,2.4450442755308903
2007-02-22,0.94264137700279
2007-02-23,0.25828928041766
2007-02-26,0.87198376678525
2007-02-27,-1.86640660642803
2007-02-28,2.46246041116196
2007-03-01,0.11723720203202001
2007-03-02,-0.4488758606996
2007-03-05,-2.72495403744184
2007-03-06,1.41072352701983
2007-03-07,1.9276649443561202
2007-03-08,0.0
2007-03-09,-2.30064335541736
2007-03-12,-1.51666929721274
2007-03-13,-0.8307984125956701
2007-03-14,0.40866367815006
2007-03-15,-0.9564530109168299
2007-03-16,-0.51366346881707
2007-03-19,0.57827966039982
2007-03-20,-0.4928172383405
2007-03-21,0.70160958938525
2007-03-22,2.82787095958752
2007-03-23,0.77720207253886
2007-03-26,1.1864702392722999
2007-03-27,0.058633967505710004
2007-03-28,1.56249801635746
2007-03-29,3.1153826923076897
2007-03-30,-0.50354532830185
2007-04-02,0.39363262956448
2007-04-03,-2.05377516703182
2007-04-04,-0.24780213968361
2007-04-05,-0.61151153787457
2007-04-09,-3.1916940277521304
2007-04-10,0.5163912816838501
2007-04-11,-0.29638805974335003
2007-04-12,2.3583095988567
2007-04-13,-0.25169795733985
2007-04-16,-0.6211160714285701
2007-04-17,-1.7773437152862601
2007-04-18,-0.29827400480662997
2007-04-19,-1.8348584330845301
2007-04-20,1.68630228187114
2007-04-23,2.33766638037296
2007-04-24,-1.62046463060397
2007-04-25,1.8456063077119798
2007-04-26,-0.7404540140296201
2007-04-27,1.76678645007433
2007-04-30,-1.15740354938273
2007-05-01,-1.7174101593516702
2007-05-02,-1.52899321824873
2007-05-03,-0.62512805001009
2007-05-04,-1.98863640399018
2007-05-07,-0.49689027943872
2007-05-08,1.20682061575488
2007-05-09,-1.2952323457079
2007-05-10,0.29161425917991
2007-05-11,0.87226995338443
2007-05-14,-0.020586781964170003
2007-05-15,0.88550451224249
2007-05-16,-0.9389732215156901
2007-05-17,3.35874929649185
2007-05-18,-0.1196212121212
2007-05-21,1.43712979788941
2007-05-22,-1.77096025186935
2007-05-23,0.5008013021154201
2007-05-24,-2.471592683739
2007-05-25,1.1649294911097599
2007-05-29,-2.22221818181818
2007-05-30,-0.39256816559635
2007-05-31,1.5556938717215
2007-06-01,1.02124185092405
2007-06-04,1.7994319005141899
2007-06-05,-0.65540816903308
2007-06-06,0.5797700919632099
2007-06-07,0.675811952379
2007-06-08,-3.13919237357582
2007-06-11,1.58988785996967
2007-06-12,-0.56179574638844
2007-06-13,1.0694087758392101
2007-06-14,2.01636654022759
2007-06-15,0.8414892697256
2007-06-18,1.18377646388079
2007-06-19,-0.038358266942049996
2007-06-20,-1.0936301054035
2007-06-21,0.09699127249256
2007-06-22,0.5620174636441
2007-06-25,0.13490075418964
2007-06-26,-1.61662820663258
2007-06-27,1.48670190701685
2007-06-28,1.13723976219662
2007-06-29,1.01009908499905
2007-07-02,0.9999981132075401
2007-07-03,0.01868484996609
2007-07-05,1.1393369230605899
2007-07-06,0.97875896662016
2007-07-09,-0.60351499634235
2007-07-10,0.6807783139200799
2007-07-11,-0.10965094828855002
2007-07-12,0.14636297109402002
2007-07-13,1.46145226666232
2007-07-16,0.39610550241077996
2007-07-17,-0.21520624875202002
2007-07-18,1.6894374854320202
2007-07-19,0.88370445798147
2007-07-20,-0.14015766852986
2007-07-23,-1.08771754385965
2007-07-24,-2.16388963881006
2007-07-25,4.13342820884699
2007-07-26,-2.1239519868376
2007-07-27,2.70366590708526
2007-07-30,-0.41565984012261004
2007-07-31,1.7913026086956398
2007-08-01,-1.3155663986941
2007-08-02,-0.10387292603438
2007-08-03,-2.18371226718003
2007-08-06,-3.9688129689725895
2007-08-07,0.29520294658296
2007-08-08,-0.16556475044948998
2007-08-09,-0.9028947853326
2007-08-10,-0.26031982633542
2007-08-13,0.39149702444998
2007-08-14,0.7056676213804001
2007-08-15,1.65959985248019
2007-08-16,-2.81153450369065
2007-08-17,0.83985999104665
2007-08-20,-0.90689988722746
2007-08-21,-2.07321811592793
2007-08-22,-0.15258821285523
2007-08-23,0.57307356535143
2007-08-24,1.88033611090841
2007-08-27,1.28635908438401
2007-08-28,-0.55218661688988
2007-08-29,2.81325194916255
2007-08-30,-0.09000720234034999
2007-08-31,0.5045027027027
2007-09-04,1.7389763667798
2007-09-05,0.89867488986785
2007-09-06,0.6461806023814399
2007-09-07,0.22557174691009
2007-09-10,1.7832462528824902
2007-09-11,0.28916141709201
2007-09-12,1.7639094600391698
2007-09-13,0.28332999999999997
2007-09-14,-0.6315389939019099
